ID,国語,数学,英語,理科,社会,合計,判定
19990001,58.0,81.0,66.0,46.0,35.0,0, 
19990002,67.0,93.0,65.0,64.0,75.0,0, 
19990003,79.0,53.0,93.0,30.0,79.0,0, 
19990004,61.0,38.0,74.0,4.0,30.0,0, 
19990005,50.0,36.0,36.0,99.0,70.0,0, 
19990006,93.0,87.0,63.0,38.0,71.0,0, 
19990007,99.0,49.0,15.0,31.0,60.0,0, 
19990008,3.0,79.0,49.0,33.0,99.0,0, 
19990009,29.0,35.0,64.0,89.0,59.0,0, 
19990010,7.0,38.0,13.0,5.0,4.0,0, 
19990011,10.0,18.0,33.0,55.0,81.0,0, 
19990012,78.0,21.0,96.0,96.0,21.0,0, 
19990013,96.0,22.0,47.0,51.0,88.0,0, 
19990014,56.0,86.0,80.0,74.0,97.0,0, 
19990015,64.0,3.0,34.0,84.0,4.0,0, 
19990016,55.0,23.0,18.0,11.0,68.0,0, 
19990017,87.0,61.0,21.0,62.0,1.0,0, 
19990018,21.0,78.0,74.0,74.0,24.0,0, 
19990019,88.0,70.0,25.0,34.0,11.0,0, 
19990020,59.0,60.0,75.0,15.0,58.0,0, 
19990021,86.0,96.0,78.0,12.0,9.0,0, 
19990022,98.0,95.0,84.0,71.0,46.0,0, 
19990023,17.0,20.0,98.0,10.0,73.0,0, 
19990024,36.0,12.0,21.0,36.0,4.0,0, 
19990025,37.0,43.0,97.0,47.0,18.0,0, 
19990026,49.0,2.0,26.0,29.0,38.0,0, 
19990027,53.0,3.0,87.0,41.0,82.0,0, 
19990028,42.0,13.0,16.0,69.0,89.0,0, 
19990029,94.0,70.0,16.0,89.0,30.0,0, 
19990030,73.0,82.0,82.0,76.0,4.0,0, 
19990031,57.0,35.0,58.0,59.0,16.0,0, 
19990032,72.0,34.0,15.0,24.0,84.0,0, 
19990033,68.0,53.0,39.0,0.0,86.0,0, 
19990034,85.0,34.0,14.0,30.0,88.0,0, 
19990035,4.0,45.0,2.0,41.0,49.0,0, 
19990036,48.0,24.0,50.0,33.0,66.0,0, 
19990037,24.0,75.0,9.0,42.0,43.0,0, 
19990038,25.0,34.0,83.0,57.0,48.0,0, 
19990039,44.0,18.0,42.0,61.0,89.0,0, 
19990040,83.0,8.0,81.0,14.0,41.0,0, 
19990041,47.0,1.0,68.0,15.0,49.0,0, 
19990042,51.0,63.0,40.0,42.0,95.0,0, 
19990043,76.0,95.0,83.0,55.0,2.0,0, 
19990044,57.0,19.0,75.0,23.0,67.0,0, 
19990045,93.0,36.0,34.0,53.0,7.0,0, 
19990046,48.0,14.0,93.0,48.0,99.0,0, 
19990047,76.0,6.0,64.0,3.0,55.0,0, 
19990048,64.0,87.0,3.0,14.0,19.0,0, 
19990049,74.0,29.0,90.0,52.0,29.0,0, 
19990050,18.0,12.0,4.0,64.0,89.0,0, 
19990051,70.0,68.0,25.0,88.0,56.0,0, 
19990052,58.0,69.0,36.0,43.0,97.0,0, 
19990053,49.0,32.0,4.0,12.0,62.0,0, 
19990054,65.0,88.0,79.0,99.0,87.0,0, 
19990055,41.0,23.0,42.0,15.0,53.0,0, 
19990056,43.0,75.0,88.0,85.0,85.0,0, 
19990057,23.0,53.0,20.0,22.0,4.0,0, 
19990058,89.0,80.0,4.0,65.0,43.0,0, 
19990059,69.0,86.0,71.0,62.0,67.0,0, 
19990060,61.0,86.0,9.0,31.0,30.0,0, 
19990061,5.0,59.0,65.0,66.0,88.0,0, 
19990062,7.0,11.0,13.0,46.0,29.0,0, 
19990063,55.0,20.0,33.0,57.0,17.0,0, 
19990064,1.0,47.0,90.0,64.0,83.0,0, 
19990065,55.0,45.0,2.0,55.0,66.0,0, 
19990066,68.0,63.0,81.0,12.0,20.0,0, 
19990067,86.0,30.0,3.0,79.0,82.0,0, 
19990068,13.0,29.0,38.0,63.0,10.0,0, 
19990069,72.0,18.0,86.0,12.0,32.0,0, 
19990070,10.0,25.0,41.0,25.0,28.0,0, 
19990071,44.0,48.0,49.0,83.0,99.0,0, 
19990072,69.0,58.0,99.0,8.0,52.0,0, 
19990073,64.0,77.0,49.0,45.0,43.0,0, 
19990074,89.0,66.0,65.0,6.0,28.0,0, 
19990075,27.0,2.0,43.0,72.0,30.0,0, 
19990076,7.0,92.0,22.0,76.0,27.0,0, 
19990077,99.0,20.0,2.0,62.0,84.0,0, 
19990078,47.0,47.0,32.0,43.0,67.0,0, 
19990079,24.0,95.0,76.0,50.0,78.0,0, 
19990080,87.0,37.0,54.0,68.0,48.0,0, 
19990081,83.0,2.0,50.0,27.0,79.0,0, 
19990082,30.0,58.0,35.0,24.0,59.0,0, 
19990083,67.0,42.0,44.0,33.0,53.0,0, 
19990084,77.0,75.0,2.0,9.0,38.0,0, 
19990085,1.0,74.0,83.0,85.0,62.0,0, 
19990086,2.0,75.0,54.0,11.0,26.0,0, 
19990087,64.0,59.0,37.0,37.0,3.0,0, 
19990088,2.0,3.0,69.0,28.0,75.0,0, 
19990089,56.0,69.0,75.0,57.0,0.0,0, 
19990090,56.0,81.0,16.0,84.0,45.0,0, 
19990091,7.0,77.0,8.0,51.0,50.0,0, 
19990092,92.0,80.0,73.0,15.0,99.0,0, 
19990093,50.0,35.0,89.0,11.0,48.0,0, 
19990094,93.0,56.0,99.0,34.0,26.0,0, 
19990095,11.0,25.0,85.0,7.0,53.0,0, 
19990096,85.0,88.0,59.0,14.0,37.0,0, 
19990097,69.0,86.0,21.0,95.0,76.0,0, 
19990098,81.0,38.0,14.0,86.0,59.0,0, 
19990099,97.0,53.0,72.0,44.0,32.0,0, 
19990100,56.0,55.0,85.0,54.0,28.0,0, 
