ID,国語,数学,英語,理科,社会,合計,判定
19990001,58,81,66,46,35,286,不合格
19990002,67,93,65,64,75,364,合格
19990003,79,53,93,30,79,334,合格
19990004,61,38,74,4,30,207,不合格
19990005,50,36,36,99,70,291,不合格
19990006,93,87,63,38,71,352,合格
19990007,99,49,15,31,60,254,不合格
19990008,3,79,49,33,99,263,不合格
19990009,29,35,64,89,59,276,不合格
19990010,7,38,13,5,4,67,不合格
19990011,10,18,33,55,81,197,不合格
19990012,78,21,96,96,21,312,合格
19990013,96,22,47,51,88,304,合格
19990014,56,86,80,74,97,393,合格
19990015,64,3,34,84,4,189,不合格
19990016,55,23,18,11,68,175,不合格
19990017,87,61,21,62,1,232,不合格
19990018,21,78,74,74,24,271,不合格
19990019,88,70,25,34,11,228,不合格
19990020,59,60,75,15,58,267,不合格
19990021,86,96,78,12,9,281,不合格
19990022,98,95,84,71,46,394,合格
19990023,17,20,98,10,73,218,不合格
19990024,36,12,21,36,4,109,不合格
19990025,37,43,97,47,18,242,不合格
19990026,49,2,26,29,38,144,不合格
19990027,53,3,87,41,82,266,不合格
19990028,42,13,16,69,89,229,不合格
19990029,94,70,16,89,30,299,不合格
19990030,73,82,82,76,4,317,合格
19990031,57,35,58,59,16,225,不合格
19990032,72,34,15,24,84,229,不合格
19990033,68,53,39,0,86,246,不合格
19990034,85,34,14,30,88,251,不合格
19990035,4,45,2,41,49,141,不合格
19990036,48,24,50,33,66,221,不合格
19990037,24,75,9,42,43,193,不合格
19990038,25,34,83,57,48,247,不合格
19990039,44,18,42,61,89,254,不合格
19990040,83,8,81,14,41,227,不合格
19990041,47,1,68,15,49,180,不合格
19990042,51,63,40,42,95,291,不合格
19990043,76,95,83,55,2,311,合格
19990044,57,19,75,23,67,241,不合格
19990045,93,36,34,53,7,223,不合格
19990046,48,14,93,48,99,302,合格
19990047,76,6,64,3,55,204,不合格
19990048,64,87,3,14,19,187,不合格
19990049,74,29,90,52,29,274,不合格
19990050,18,12,4,64,89,187,不合格
19990051,70,68,25,88,56,307,合格
19990052,58,69,36,43,97,303,合格
19990053,49,32,4,12,62,159,不合格
19990054,65,88,79,99,87,418,合格
19990055,41,23,42,15,53,174,不合格
19990056,43,75,88,85,85,376,合格
19990057,23,53,20,22,4,122,不合格
19990058,89,80,4,65,43,281,不合格
19990059,69,86,71,62,67,355,合格
19990060,61,86,9,31,30,217,不合格
19990061,5,59,65,66,88,283,不合格
19990062,7,11,13,46,29,106,不合格
19990063,55,20,33,57,17,182,不合格
19990064,1,47,90,64,83,285,不合格
19990065,55,45,2,55,66,223,不合格
19990066,68,63,81,12,20,244,不合格
19990067,86,30,3,79,82,280,不合格
19990068,13,29,38,63,10,153,不合格
19990069,72,18,86,12,32,220,不合格
19990070,10,25,41,25,28,129,不合格
19990071,44,48,49,83,99,323,合格
19990072,69,58,99,8,52,286,不合格
19990073,64,77,49,45,43,278,不合格
19990074,89,66,65,6,28,254,不合格
19990075,27,2,43,72,30,174,不合格
19990076,7,92,22,76,27,224,不合格
19990077,99,20,2,62,84,267,不合格
19990078,47,47,32,43,67,236,不合格
19990079,24,95,76,50,78,323,合格
19990080,87,37,54,68,48,294,不合格
19990081,83,2,50,27,79,241,不合格
19990082,30,58,35,24,59,206,不合格
19990083,67,42,44,33,53,239,不合格
19990084,77,75,2,9,38,201,不合格
19990085,1,74,83,85,62,305,合格
19990086,2,75,54,11,26,168,不合格
19990087,64,59,37,37,3,200,不合格
19990088,2,3,69,28,75,177,不合格
19990089,56,69,75,57,0,257,不合格
19990090,56,81,16,84,45,282,不合格
19990091,7,77,8,51,50,193,不合格
19990092,92,80,73,15,99,359,合格
19990093,50,35,89,11,48,233,不合格
19990094,93,56,99,34,26,308,合格
19990095,11,25,85,7,53,181,不合格
19990096,85,88,59,14,37,283,不合格
19990097,69,86,21,95,76,347,合格
19990098,81,38,14,86,59,278,不合格
19990099,97,53,72,44,32,298,不合格
19990100,56,55,85,54,28,278,不合格
