ID,国語,数学,英語,理科,社会,体育
19990001,58,81,66,46,35,80
19990002,67,93,65,64,75,67
19990003,79,53,93,30,79,52
19990004,61,38,74,4,30,35
19990005,50,36,36,99,70,65
19990006,93,87,63,38,71,97
19990007,99,49,15,31,60,15
19990008,3,79,49,33,99,0
19990009,29,35,64,89,59,67
19990010,7,38,13,5,4,16
19990011,10,18,33,55,81,97
19990012,78,21,96,96,21,76
19990013,96,22,47,51,88,68
19990014,56,86,80,74,97,60
19990015,64,3,34,84,4,15
19990016,55,23,18,11,68,87
19990017,87,61,21,62,1,67
19990018,21,78,74,74,24,43
19990019,88,70,25,34,11,14
19990020,59,60,75,15,58,38
19990021,86,96,78,12,9,45
19990022,98,95,84,71,46,26
19990023,17,20,98,10,73,99
19990024,36,12,21,36,4,78
19990025,37,43,97,47,18,89
19990026,49,2,26,29,38,43
19990027,53,3,87,41,82,40
19990028,42,13,16,69,89,24
19990029,94,70,16,89,30,19
19990030,73,82,82,76,4,94
19990031,57,35,58,59,16,12
19990032,72,34,15,24,84,91
19990033,68,53,39,0,86,58
19990034,85,34,14,30,88,43
19990035,4,45,2,41,49,90
19990036,48,24,50,33,66,80
19990037,24,75,9,42,43,67
19990038,25,34,83,57,48,82
19990039,44,18,42,61,89,22
19990040,83,8,81,14,41,41
19990041,47,1,68,15,49,98
19990042,51,63,40,42,95,51
19990043,76,95,83,55,2,35
19990044,57,19,75,23,67,7
19990045,93,36,34,53,7,22
19990046,48,14,93,48,99,96
19990047,76,6,64,3,55,89
19990048,64,87,3,14,19,31
19990049,74,29,90,52,29,41
19990050,18,12,4,64,89,23
19990051,70,68,25,88,56,98
19990052,58,69,36,43,97,67
19990053,49,32,4,12,62,78
19990054,65,88,79,99,87,52
19990055,41,23,42,15,53,42
19990056,43,75,88,85,85,63
19990057,23,53,20,22,4,85
19990058,89,80,4,65,43,56
19990059,69,86,71,62,67,28
19990060,61,86,9,31,30,65
19990061,5,59,65,66,88,13
19990062,7,11,13,46,29,29
19990063,55,20,33,57,17,32
19990064,1,47,90,64,83,29
19990065,55,45,2,55,66,70
19990066,68,63,81,12,20,27
19990067,86,30,3,79,82,36
19990068,13,29,38,63,10,8
19990069,72,18,86,12,32,2
19990070,10,25,41,25,28,22
19990071,44,48,49,83,99,9
19990072,69,58,99,8,52,65
19990073,64,77,49,45,43,39
19990074,89,66,65,6,28,64
19990075,27,2,43,72,30,68
19990076,7,92,22,76,27,10
19990077,99,20,2,62,84,45
19990078,47,47,32,43,67,43
19990079,24,95,76,50,78,19
19990080,87,37,54,68,48,86
19990081,83,2,50,27,79,36
19990082,30,58,35,24,59,86
19990083,67,42,44,33,53,68
19990084,77,75,2,9,38,56
19990085,1,74,83,85,62,42
19990086,2,75,54,11,26,16
19990087,64,59,37,37,3,95
19990088,2,3,69,28,75,99
19990089,56,69,75,57,0,48
19990090,56,81,16,84,45,60
19990091,7,77,8,51,50,18
19990092,92,80,73,15,99,52
19990093,50,35,89,11,48,72
19990094,93,56,99,34,26,92
19990095,11,25,85,7,53,81
19990096,85,88,59,14,37,36
19990097,69,86,21,95,76,93
19990098,81,38,14,86,59,92
19990099,97,53,72,44,32,18
19990100,56,55,85,54,28,62
19990101,73,89,40,7,33,48
19990102,10,21,73,77,2,1
19990103,89,93,36,73,38,44
19990104,24,43,73,11,50,13
19990105,79,14,4,58,35,64
19990106,21,11,45,75,16,55
19990107,51,64,97,8,51,14
19990108,43,59,45,32,45,33
19990109,81,93,29,90,37,80
19990110,5,8,35,87,59,34
19990111,62,73,59,10,28,18
19990112,94,65,98,46,94,39
19990113,29,32,84,20,88,18
19990114,87,72,15,29,14,87
19990115,80,34,91,2,41,52
19990116,2,48,83,78,28,85
19990117,92,62,23,20,49,69
19990118,83,50,28,93,21,16
19990119,2,5,43,8,52,88
19990120,71,9,96,61,21,99
19990121,17,80,81,3,48,9
19990122,97,23,0,16,34,46
19990123,11,22,39,74,40,51
19990124,96,15,66,9,83,83
19990125,36,34,69,87,17,97
19990126,68,0,49,23,51,80
19990127,23,8,61,61,28,23
19990128,98,3,35,36,53,9
19990129,72,51,35,89,46,11
19990130,82,60,72,90,29,99
19990131,77,47,22,63,97,70
19990132,77,75,48,86,5,25
19990133,86,10,97,44,86,54
19990134,97,33,57,26,37,21
19990135,7,79,78,50,43,66
19990136,56,50,22,9,60,58
19990137,18,55,19,32,26,78
19990138,1,84,70,72,94,84
19990139,61,71,78,74,10,3
19990140,4,34,23,39,23,47
19990141,5,23,82,27,54,57
19990142,21,52,18,28,41,47
19990143,26,64,35,33,61,38
19990144,60,98,17,84,51,16
19990145,58,68,13,94,37,99
19990146,73,56,62,12,80,48
19990147,90,85,0,33,0,85
19990148,31,15,50,93,47,11
19990149,50,12,8,15,75,43
19990150,30,57,95,86,60,55
19990151,44,80,29,83,47,12
19990152,26,80,84,19,97,71
19990153,11,61,21,19,8,55
19990154,13,23,59,66,43,49
19990155,33,35,92,15,91,22
19990156,46,36,88,34,48,27
19990157,64,89,82,56,96,20
19990158,37,90,22,92,11,7
19990159,0,15,38,29,4,52
19990160,17,16,0,95,92,48
19990161,38,44,28,41,76,89
19990162,39,88,55,55,98,83
19990163,53,97,93,5,55,46
19990164,13,73,66,80,65,19
19990165,52,67,23,8,52,96
19990166,66,60,0,21,88,10
19990167,0,42,36,77,17,79
19990168,10,46,32,16,74,78
19990169,95,47,9,68,49,71
19990170,65,92,15,19,25,27
19990171,55,42,59,72,10,60
19990172,13,39,33,16,8,76
19990173,78,59,98,53,29,3
19990174,98,96,48,33,86,45
19990175,8,17,70,82,55,90
19990176,69,44,24,31,14,63
19990177,7,13,87,69,93,20
19990178,75,93,37,48,10,59
19990179,86,45,62,64,32,60
19990180,33,60,51,89,92,87
19990181,95,85,56,67,5,0
19990182,40,60,61,75,22,56
19990183,77,94,2,40,81,52
19990184,37,28,77,24,25,50
19990185,84,63,90,68,43,50
19990186,67,54,19,99,71,26
19990187,18,21,96,60,2,31
