ID,国語,判定
19990001,95, 
19990002,12, 
19990003,34, 
19990004,94, 
19990005,87, 
19990006,84, 
19990007,4, 
19990008,23, 
19990009,91, 
19990010,20, 
19990011,44, 
19990012,80, 
19990013,50, 
19990014,62, 
19990015,3, 
19990016,79, 
19990017,39, 
19990018,53, 
19990019,53, 
19990020,11, 
19990021,6, 
19990022,41, 
19990023,83, 
19990024,65, 
19990025,83, 
19990026,37, 
19990027,17, 
19990028,10, 
19990029,41, 
19990030,86, 
19990031,91, 
19990032,80, 
19990033,86, 
19990034,89, 
19990035,85, 
19990036,40, 
19990037,60, 
19990038,17, 
19990039,99, 
19990040,98, 
19990041,81, 
19990042,36, 
19990043,13, 
19990044,50, 
19990045,62, 
19990046,46, 
19990047,68, 
19990048,7, 
19990049,17, 
19990050,68, 
19990051,63, 
19990052,87, 
19990053,72, 
19990054,12, 
19990055,76, 
19990056,89, 
19990057,16, 
19990058,96, 
19990059,41, 
19990060,63, 
19990061,89, 
19990062,12, 
19990063,95, 
19990064,17, 
19990065,2, 
19990066,20, 
19990067,57, 
19990068,72, 
19990069,13, 
19990070,45, 
19990071,16, 
19990072,8, 
19990073,16, 
19990074,81, 
19990075,97, 
19990076,91, 
19990077,12, 
19990078,8, 
19990079,12, 
19990080,30, 
19990081,87, 
19990082,94, 
19990083,18, 
19990084,61, 
19990085,94, 
19990086,73, 
19990087,32, 
19990088,40, 
19990089,41, 
19990090,57, 
19990091,85, 
19990092,17, 
19990093,82, 
19990094,8, 
19990095,38, 
19990096,22, 
19990097,8, 
19990098,90, 
19990099,69, 
19990100,43, 
19990101,78, 
19990102,92, 
19990103,43, 
19990104,16, 
19990105,80, 
19990106,92, 
19990107,97, 
19990108,22, 
19990109,97, 
19990110,88, 
19990111,48, 
19990112,70, 
19990113,51, 
19990114,45, 
19990115,50, 
19990116,30, 
19990117,29, 
19990118,17, 
19990119,61, 
19990120,16, 
19990121,70, 
19990122,61, 
19990123,41, 
19990124,36, 
19990125,15, 
19990126,30, 
19990127,70, 
19990128,45, 
19990129,87, 
19990130,1, 
19990131,90, 
19990132,65, 
19990133,46, 
19990134,72, 
19990135,96, 
19990136,6, 
19990137,93, 
19990138,17, 
19990139,40, 
19990140,63, 
19990141,39, 
19990142,90, 
19990143,58, 
19990144,95, 
19990145,46, 
19990146,33, 
19990147,71, 
19990148,11, 
19990149,48, 
19990150,49, 
19990151,47, 
19990152,10, 
19990153,77, 
19990154,49, 
19990155,66, 
19990156,30, 
19990157,21, 
19990158,19, 
19990159,46, 
19990160,13, 
19990161,6, 
19990162,32, 
19990163,67, 
19990164,37, 
19990165,65, 
19990166,0, 
19990167,26, 
19990168,90, 
19990169,78, 
19990170,81, 
19990171,54, 
19990172,24, 
19990173,61, 
19990174,79, 
19990175,95, 
19990176,71, 
19990177,36, 
19990178,11, 
19990179,43, 
19990180,54, 
19990181,61, 
19990182,30, 
19990183,26, 
19990184,62, 
19990185,25, 
19990186,56, 
19990187,87, 
19990188,11, 
19990189,23, 
19990190,56, 
19990191,96, 
19990192,67, 
19990193,30, 
19990194,75, 
19990195,64, 
19990196,8, 
19990197,48, 
19990198,63, 
19990199,36, 
19990200,63, 
19990201,76, 
19990202,64, 
19990203,51, 
19990204,40, 
19990205,23, 
19990206,69, 
19990207,63, 
19990208,23, 
19990209,53, 
19990210,47, 
19990211,78, 
19990212,22, 
19990213,51, 
19990214,57, 
19990215,79, 
19990216,55, 
19990217,53, 
19990218,46, 
19990219,65, 
19990220,94, 
19990221,17, 
19990222,68, 
19990223,42, 
19990224,40, 
19990225,73, 
19990226,45, 
19990227,73, 
19990228,29, 
19990229,86, 
19990230,75, 
19990231,21, 
19990232,76, 
19990233,92, 
19990234,68, 
19990235,79, 
19990236,52, 
19990237,76, 
19990238,71, 
19990239,24, 
19990240,91, 
19990241,7, 
19990242,99, 
19990243,66, 
19990244,73, 
19990245,39, 
19990246,54, 
19990247,63, 
19990248,29, 
19990249,73, 
19990250,91, 
19990251,70, 
19990252,43, 
19990253,52, 
19990254,57, 
19990255,68, 
19990256,34, 
19990257,50, 
19990258,77, 
19990259,6, 
19990260,27, 
19990261,30, 
19990262,76, 
19990263,53, 
19990264,65, 
19990265,65, 
19990266,13, 
19990267,91, 
19990268,78, 
19990269,56, 
19990270,15, 
19990271,89, 
19990272,55, 
19990273,22, 
19990274,12, 
19990275,44, 
19990276,72, 
19990277,42, 
19990278,91, 
19990279,21, 
19990280,98, 
19990281,78, 
19990282,54, 
19990283,41, 
19990284,44, 
19990285,42, 
19990286,57, 
19990287,24, 
19990288,24, 
19990289,60, 
19990290,62, 
19990291,4, 
19990292,95, 
19990293,94, 
19990294,73, 
19990295,46, 
19990296,62, 
19990297,98, 
19990298,96, 
19990299,53, 
19990300,29, 
19990301,86, 
19990302,59, 
19990303,35, 
19990304,54, 
19990305,75, 
19990306,23, 
19990307,20, 
19990308,90, 
19990309,90, 
19990310,77, 
19990311,78, 
19990312,68, 
19990313,44, 
19990314,91, 
19990315,30, 
19990316,26, 
19990317,33, 
19990318,13, 
19990319,86, 
19990320,61, 
19990321,70, 
19990322,33, 
19990323,33, 
19990324,64, 
19990325,43, 
19990326,53, 
19990327,42, 
19990328,49, 
19990329,25, 
19990330,43, 
19990331,52, 
19990332,63, 
19990333,60, 
19990334,95, 
19990335,83, 
19990336,12, 
19990337,78, 
19990338,80, 
19990339,34, 
19990340,40, 
19990341,63, 
19990342,59, 
19990343,54, 
19990344,17, 
19990345,15, 
19990346,88, 
19990347,42, 
19990348,36, 
19990349,71, 
19990350,30, 
19990351,72, 
19990352,68, 
19990353,66, 
19990354,59, 
19990355,89, 
19990356,88, 
19990357,41, 
19990358,35, 
19990359,49, 
19990360,58, 
19990361,32, 
19990362,5, 
19990363,61, 
19990364,19, 
19990365,98, 
19990366,88, 
19990367,89, 
19990368,77, 
19990369,47, 
19990370,80, 
19990371,20, 
19990372,9, 
19990373,39, 
19990374,78, 
19990375,88, 
19990376,64, 
19990377,51, 
19990378,80, 
19990379,38, 
19990380,30, 
19990381,65, 
19990382,68, 
19990383,22, 
19990384,8, 
19990385,86, 
19990386,29, 
19990387,83, 
19990388,7, 
19990389,76, 
19990390,76, 
19990391,53, 
19990392,53, 
19990393,5, 
19990394,25, 
19990395,23, 
19990396,94, 
19990397,98, 
19990398,92, 
19990399,43, 
