ID,数学,判定
19990001,81, 
19990002,93, 
19990003,53, 
19990004,38, 
19990005,36, 
19990006,87, 
19990007,49, 
19990008,79, 
19990009,35, 
19990010,38, 
19990011,18, 
19990012,21, 
19990013,22, 
19990014,86, 
19990015,3, 
19990016,23, 
19990017,61, 
19990018,78, 
19990019,70, 
19990020,60, 
19990021,96, 
19990022,95, 
19990023,20, 
19990024,12, 
19990025,43, 
19990026,2, 
19990027,3, 
19990028,13, 
19990029,70, 
19990030,82, 
19990031,35, 
19990032,34, 
19990033,53, 
19990034,34, 
19990035,45, 
19990036,24, 
19990037,75, 
19990038,34, 
19990039,18, 
19990040,8, 
19990041,1, 
19990042,63, 
19990043,95, 
19990044,19, 
19990045,36, 
19990046,14, 
19990047,6, 
19990048,87, 
19990049,29, 
19990050,12, 
19990051,68, 
19990052,69, 
19990053,32, 
19990054,88, 
19990055,23, 
19990056,75, 
19990057,53, 
19990058,80, 
19990059,86, 
19990060,86, 
19990061,59, 
19990062,11, 
19990063,20, 
19990064,47, 
19990065,45, 
19990066,63, 
19990067,30, 
19990068,29, 
19990069,18, 
19990070,25, 
19990071,48, 
19990072,58, 
19990073,77, 
19990074,66, 
19990075,2, 
19990076,92, 
19990077,20, 
19990078,47, 
19990079,95, 
19990080,37, 
19990081,2, 
19990082,58, 
19990083,42, 
19990084,75, 
19990085,74, 
19990086,75, 
19990087,59, 
19990088,3, 
19990089,69, 
19990090,81, 
19990091,77, 
19990092,80, 
19990093,35, 
19990094,56, 
19990095,25, 
19990096,88, 
19990097,86, 
19990098,38, 
19990099,53, 
19990100,55, 
19990101,89, 
19990102,21, 
19990103,93, 
19990104,43, 
19990105,14, 
19990106,11, 
19990107,64, 
19990108,59, 
19990109,93, 
19990110,8, 
19990111,73, 
19990112,65, 
19990113,32, 
19990114,72, 
19990115,34, 
19990116,48, 
19990117,62, 
19990118,50, 
19990119,5, 
19990120,9, 
19990121,80, 
19990122,23, 
19990123,22, 
19990124,15, 
19990125,34, 
19990126,0, 
19990127,8, 
19990128,3, 
19990129,51, 
19990130,60, 
19990131,47, 
19990132,75, 
19990133,10, 
19990134,33, 
19990135,79, 
19990136,50, 
19990137,55, 
19990138,84, 
19990139,71, 
19990140,34, 
19990141,23, 
19990142,52, 
19990143,64, 
19990144,98, 
19990145,68, 
19990146,56, 
19990147,85, 
19990148,15, 
19990149,12, 
19990150,57, 
19990151,80, 
19990152,80, 
19990153,61, 
19990154,23, 
19990155,35, 
19990156,36, 
19990157,89, 
19990158,90, 
19990159,15, 
19990160,16, 
19990161,44, 
19990162,88, 
19990163,97, 
19990164,73, 
19990165,67, 
19990166,60, 
19990167,42, 
19990168,46, 
19990169,47, 
19990170,92, 
19990171,42, 
19990172,39, 
19990173,59, 
19990174,96, 
19990175,17, 
19990176,44, 
19990177,13, 
19990178,93, 
19990179,45, 
19990180,60, 
19990181,85, 
19990182,60, 
19990183,94, 
19990184,28, 
19990185,63, 
19990186,54, 
19990187,21, 
19990188,10, 
19990189,30, 
19990190,71, 
19990191,99, 
19990192,50, 
19990193,48, 
19990194,74, 
19990195,21, 
19990196,45, 
19990197,17, 
19990198,55, 
19990199,58, 
19990200,54, 
19990201,17, 
19990202,51, 
19990203,44, 
19990204,4, 
19990205,55, 
19990206,50, 
19990207,19, 
19990208,54, 
19990209,13, 
19990210,27, 
19990211,13, 
19990212,28, 
19990213,73, 
19990214,84, 
19990215,45, 
19990216,87, 
19990217,1, 
19990218,87, 
19990219,65, 
19990220,49, 
19990221,55, 
19990222,7, 
19990223,64, 
19990224,67, 
19990225,77, 
19990226,5, 
19990227,61, 
19990228,17, 
19990229,56, 
19990230,17, 
19990231,31, 
19990232,76, 
19990233,4, 
19990234,2, 
19990235,36, 
19990236,51, 
19990237,88, 
19990238,57, 
19990239,39, 
19990240,2, 
19990241,60, 
19990242,77, 
19990243,72, 
19990244,11, 
19990245,90, 
19990246,27, 
19990247,36, 
19990248,86, 
19990249,34, 
19990250,19, 
19990251,39, 
19990252,95, 
19990253,3, 
19990254,16, 
19990255,71, 
19990256,42, 
19990257,1, 
19990258,83, 
19990259,6, 
19990260,14, 
19990261,29, 
19990262,81, 
19990263,39, 
19990264,10, 
19990265,78, 
19990266,15, 
19990267,61, 
19990268,8, 
19990269,43, 
19990270,37, 
19990271,9, 
19990272,60, 
19990273,10, 
19990274,21, 
19990275,55, 
19990276,95, 
19990277,96, 
19990278,27, 
19990279,10, 
19990280,77, 
19990281,29, 
19990282,14, 
19990283,20, 
19990284,83, 
19990285,25, 
19990286,46, 
19990287,38, 
19990288,76, 
19990289,8, 
19990290,37, 
19990291,44, 
19990292,37, 
19990293,12, 
19990294,88, 
19990295,36, 
19990296,70, 
19990297,69, 
19990298,35, 
19990299,99, 
19990300,69, 
19990301,87, 
19990302,38, 
19990303,58, 
19990304,49, 
19990305,83, 
19990306,89, 
19990307,38, 
19990308,41, 
19990309,60, 
19990310,86, 
19990311,93, 
19990312,21, 
19990313,87, 
19990314,47, 
19990315,6, 
19990316,77, 
19990317,42, 
19990318,74, 
19990319,2, 
19990320,73, 
19990321,53, 
19990322,51, 
19990323,37, 
19990324,25, 
19990325,6, 
19990326,17, 
19990327,85, 
19990328,29, 
19990329,71, 
19990330,68, 
19990331,56, 
19990332,28, 
19990333,6, 
19990334,37, 
19990335,81, 
19990336,4, 
19990337,56, 
19990338,81, 
19990339,17, 
19990340,11, 
19990341,83, 
19990342,93, 
19990343,22, 
19990344,96, 
19990345,21, 
19990346,7, 
19990347,87, 
19990348,35, 
19990349,76, 
19990350,67, 
19990351,36, 
19990352,61, 
19990353,9, 
19990354,47, 
19990355,26, 
19990356,30, 
19990357,76, 
19990358,55, 
19990359,16, 
19990360,66, 
19990361,87, 
19990362,39, 
19990363,22, 
19990364,79, 
19990365,38, 
19990366,50, 
19990367,23, 
19990368,5, 
19990369,16, 
19990370,17, 
19990371,16, 
19990372,37, 
19990373,20, 
19990374,19, 
19990375,72, 
19990376,12, 
19990377,62, 
19990378,57, 
19990379,34, 
19990380,62, 
19990381,14, 
19990382,53, 
19990383,77, 
19990384,75, 
19990385,60, 
19990386,33, 
19990387,50, 
19990388,38, 
19990389,71, 
19990390,26, 
19990391,13, 
19990392,25, 
19990393,41, 
19990394,81, 
19990395,31, 
19990396,10, 
19990397,46, 
19990398,0, 
19990399,95, 
19990400,79, 
19990401,94, 
19990402,15, 
19990403,0, 
19990404,88, 
19990405,36, 
19990406,54, 
19990407,94, 
19990408,25, 
19990409,48, 
19990410,12, 
19990411,6, 
19990412,87, 
19990413,84, 
19990414,77, 
19990415,25, 
19990416,95, 
19990417,53, 
19990418,21, 
19990419,1, 
19990420,21, 
19990421,82, 
19990422,23, 
19990423,83, 
19990424,81, 
19990425,2, 
19990426,13, 
19990427,72, 
19990428,16, 
19990429,35, 
19990430,18, 
19990431,49, 
19990432,56, 
19990433,81, 
19990434,13, 
19990435,62, 
19990436,93, 
19990437,2, 
19990438,40, 
19990439,69, 
19990440,17, 
19990441,99, 
19990442,49, 
19990443,19, 
19990444,81, 
19990445,5, 
19990446,51, 
19990447,33, 
19990448,86, 
19990449,36, 
19990450,43, 
19990451,58, 
19990452,13, 
19990453,23, 
19990454,5, 
19990455,28, 
19990456,25, 
19990457,21, 
19990458,50, 
19990459,54, 
19990460,53, 
19990461,60, 
19990462,52, 
19990463,28, 
19990464,77, 
19990465,14, 
19990466,34, 
19990467,98, 
19990468,65, 
19990469,15, 
19990470,18, 
19990471,71, 
19990472,11, 
19990473,10, 
19990474,76, 
19990475,56, 
19990476,15, 
19990477,53, 
19990478,53, 
19990479,48, 
19990480,73, 
19990481,74, 
19990482,29, 
19990483,9, 
19990484,26, 
19990485,32, 
19990486,71, 
19990487,5, 
19990488,2, 
