ID,国語,数学,英語,理科,社会,合計,判定
20010001,96,24,30,20,54,0, 
20010002,55,0,35,32,71,0, 
20010003,38,44,60,84,16,0, 
20010004,84,84,89,85,39,0, 
20010005,64,30,18,54,97,0, 
20010006,24,95,4,51,29,0, 
20010007,19,11,79,20,43,0, 
20010008,93,54,58,48,16,0, 
20010009,12,37,93,14,64,0, 
20010010,47,36,48,78,61,0, 
20010011,72,55,9,12,70,0, 
20010012,20,43,6,87,43,0, 
20010013,16,91,23,27,67,0, 
20010014,89,46,18,72,66,0, 
20010015,30,27,78,30,78,0, 
20010016,2,24,5,6,18,0, 
20010017,77,3,85,79,62,0, 
20010018,16,60,33,27,92,0, 
20010019,35,90,28,24,28,0, 
20010020,62,92,92,24,49,0, 
20010021,5,42,6,2,75,0, 
20010022,32,18,73,92,47,0, 
20010023,16,48,82,48,35,0, 
20010024,61,59,20,16,64,0, 
20010025,87,4,39,7,30,0, 
20010026,77,52,64,99,80,0, 
20010027,31,30,28,82,20,0, 
20010028,81,90,4,31,68,0, 
20010029,25,96,7,80,47,0, 
20010030,25,65,11,45,92,0, 
20010031,84,57,65,37,12,0, 
20010032,87,22,50,56,93,0, 
20010033,58,97,43,78,50,0, 
20010034,10,51,42,48,90,0, 
20010035,31,45,36,85,2,0, 
20010036,1,98,51,40,96,0, 
20010037,26,91,52,22,68,0, 
20010038,16,18,84,26,17,0, 
20010039,2,33,96,55,71,0, 
20010040,87,0,65,6,94,0, 
20010041,32,13,54,79,8,0, 
20010042,62,31,33,95,77,0, 
20010043,40,18,59,70,62,0, 
20010044,4,7,95,71,39,0, 
20010045,10,8,95,19,96,0, 
20010046,59,17,83,6,99,0, 
20010047,16,59,44,73,19,0, 
20010048,41,78,77,39,55,0, 
20010049,9,54,62,32,55,0, 
20010050,83,21,54,40,33,0, 
20010051,48,43,95,48,67,0, 
20010052,37,66,62,32,74,0, 
20010053,79,70,2,11,28,0, 
20010054,72,47,57,47,41,0, 
20010055,24,6,55,85,52,0, 
20010056,17,24,73,67,2,0, 
20010057,48,28,62,99,16,0, 
20010058,42,87,76,8,78,0, 
20010059,76,7,3,60,39,0, 
20010060,94,61,35,60,29,0, 
20010061,4,62,16,63,53,0, 
20010062,37,8,68,50,93,0, 
20010063,54,9,52,88,19,0, 
20010064,73,93,62,45,95,0, 
20010065,60,35,31,69,36,0, 
20010066,85,76,29,6,67,0, 
