ID,国語,数学,英語,理科,社会,合計,判定
20170001,44,27,6,87,90,254,不合格
20170002,16,84,96,27,17,240,不合格
20170003,90,96,86,58,79,409,合格
20170004,24,40,46,5,79,194,不合格
20170005,70,54,50,42,79,295,不合格
20170006,58,14,80,8,95,255,不合格
20170007,27,87,11,75,51,251,不合格
20170008,95,11,31,22,39,198,不合格
20170009,4,94,80,69,86,333,合格
20170010,57,26,77,24,90,274,不合格
20170011,35,62,48,21,83,249,不合格
20170012,65,5,21,27,74,192,不合格
20170013,38,1,10,73,33,155,不合格
20170014,91,97,0,70,32,290,不合格
20170015,48,61,27,48,71,255,不合格
20170016,57,22,80,93,61,313,合格
20170017,66,17,28,36,84,231,不合格
20170018,26,12,56,33,14,141,不合格
20170019,71,61,62,61,26,281,不合格
20170020,22,73,81,73,29,278,不合格
20170021,15,13,76,58,55,217,不合格
20170022,33,68,33,6,92,232,不合格
20170023,58,53,69,28,6,214,不合格
20170024,27,82,16,95,8,228,不合格
20170025,51,54,25,34,37,201,不合格
20170026,58,90,35,52,60,295,不合格
20170027,90,89,29,28,64,300,合格
20170028,79,95,89,20,58,341,合格
20170029,41,23,58,30,42,194,不合格
20170030,68,65,91,35,58,317,合格
20170031,16,23,2,77,69,187,不合格
20170032,8,77,52,81,5,223,不合格
20170033,0,19,88,66,58,231,不合格
20170034,87,66,64,82,31,330,合格
20170035,20,7,48,62,94,231,不合格
20170036,82,58,39,83,33,295,不合格
20170037,20,83,12,7,93,215,不合格
20170038,78,26,28,95,90,317,合格
20170039,95,83,35,69,97,379,合格
20170040,90,81,52,87,43,353,合格
20170041,18,40,95,97,26,276,不合格
20170042,9,64,90,59,15,237,不合格
20170043,27,22,28,23,57,157,不合格
20170044,45,14,94,18,94,265,不合格
20170045,19,61,53,92,53,278,不合格
20170046,28,76,10,85,54,253,不合格
20170047,55,53,52,3,71,234,不合格
20170048,12,44,24,43,1,124,不合格
20170049,82,29,5,38,51,205,不合格
20170050,98,68,31,38,20,255,不合格
20170051,14,71,54,66,75,280,不合格
20170052,18,78,21,85,40,242,不合格
20170053,2,91,76,61,89,319,合格
20170054,61,13,25,76,97,272,不合格
20170055,83,82,39,16,7,227,不合格
20170056,57,30,88,68,85,328,合格
20170057,72,57,56,73,67,325,合格
20170058,12,56,1,62,82,213,不合格
20170059,35,65,55,46,39,240,不合格
20170060,20,9,96,70,66,261,不合格
20170061,3,31,78,37,26,175,不合格
20170062,89,40,61,37,24,251,不合格
20170063,35,28,19,2,63,147,不合格
20170064,81,0,8,11,98,198,不合格
20170065,58,90,21,88,99,356,合格
20170066,35,81,23,78,73,290,不合格
20170067,92,30,32,5,81,240,不合格
20170068,22,69,2,54,58,205,不合格
20170069,82,26,75,16,54,253,不合格
20170070,35,21,83,79,7,225,不合格
20170071,6,19,98,99,66,288,不合格
20170072,26,11,22,88,53,200,不合格
20170073,93,67,39,60,17,276,不合格
20170074,59,89,75,60,2,285,不合格
20170075,86,21,76,93,75,351,合格
20170076,91,76,60,68,80,375,合格
20170077,71,31,55,8,87,252,不合格
20170078,3,47,56,62,12,180,不合格
20170079,14,46,35,63,13,171,不合格
20170080,24,2,2,92,41,161,不合格
20170081,30,79,16,55,30,210,不合格
20170082,43,29,17,15,31,135,不合格
20170083,11,44,67,97,94,313,合格
20170084,87,23,94,93,14,311,合格
20170085,16,32,34,55,71,208,不合格
20170086,3,8,23,89,73,196,不合格
20170087,3,32,72,66,22,195,不合格
20170088,31,23,79,91,62,286,不合格
20170089,86,24,47,25,89,271,不合格
20170090,97,51,32,48,24,252,不合格
20170091,0,41,99,32,5,177,不合格
20170092,11,62,96,2,33,204,不合格
20170093,77,44,14,50,30,215,不合格
20170094,52,92,68,22,68,302,合格
20170095,91,9,84,65,5,254,不合格
20170096,34,66,68,83,17,268,不合格
20170097,92,37,28,12,99,268,不合格
20170098,47,84,98,48,72,349,合格
20170099,90,69,99,62,20,340,合格
20170100,46,89,87,78,62,362,合格
20170101,98,61,77,56,54,346,合格
20170102,3,1,39,5,43,91,不合格
20170103,59,7,11,89,38,204,不合格
20170104,20,79,94,23,93,309,合格
20170105,28,60,13,61,41,203,不合格
20170106,68,11,97,69,40,285,不合格
20170107,50,78,19,52,92,291,不合格
20170108,3,82,83,6,47,221,不合格
20170109,69,64,76,58,26,293,不合格
20170110,55,40,50,70,61,276,不合格
20170111,4,62,37,52,77,232,不合格
20170112,50,24,60,77,84,295,不合格
20170113,9,37,35,25,80,186,不合格
20170114,15,35,23,1,50,124,不合格
20170115,94,36,43,98,72,343,合格
20170116,81,80,58,48,92,359,合格
20170117,19,20,87,37,58,221,不合格
20170118,59,58,8,10,7,142,不合格
20170119,48,66,60,43,10,227,不合格
20170120,8,91,61,93,0,253,不合格
20170121,5,94,74,74,68,315,合格
20170122,96,44,97,3,74,314,合格
20170123,23,99,57,21,55,255,不合格
20170124,37,97,54,93,43,324,合格
20170125,88,24,38,26,71,247,不合格
20170126,58,35,27,94,23,237,不合格
20170127,45,48,26,25,20,164,不合格
20170128,24,34,59,6,92,215,不合格
20170129,17,53,87,44,67,268,不合格
